timeDelta,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temperature
1.0,-0.015430239478371523,-0.0020143937254207865,0.6545845652127158,0.10049744039085058,0.1320689652882118,-0.04778304221984849,22.88
1.0,-0.01682141561337732,-0.002219288048362253,0.711943987083602,0.11012263302574911,0.14514769419113904,-0.05238582995531638,22.93
1.0,-0.018146134600674952,-0.002425715809419217,0.7669093377418842,0.11980507889972794,0.15802354972023777,-0.05669363413258843,22.79
1.0,-0.019388460057186876,-0.0026336618875686156,0.8188551514019105,0.1294734813881843,0.17059697694658332,-0.06062977700426572,22.88
1.0,-0.020536942200832447,-0.002842428698518931,0.8672512641928816,0.13903127620462083,0.1827596845691015,-0.06411944951448888,22.84
1.0,-0.02158360344026667,-0.003050388917243051,0.911668059157486,0.14838133727070835,0.19440604157056085,-0.06708685669411604,22.88
1.0,-0.02252281009137892,-0.0032559627753247725,0.9517781392873218,0.15743133141521592,0.20542532659824614,-0.06946950296945882,22.88
1.0,-0.023350263727919054,-0.0034582688142278466,0.9873565146172288,0.16608924239364115,0.21571025855297912,-0.07124808694001988,22.93
1.0,-0.024062441822609925,-0.0036563897210308625,1.0182784652124244,0.17427679644145905,0.22515337852274264,-0.07247136009028701,22.88
1.0,-0.024657405560886178,-0.0038483861554853152,1.0445145961400384,0.1819173310977717,0.2336266055371288,-0.07325782976089132,22.88
1.0,-0.02513572569614581,-0.004031223236925551,1.0661239513172538,0.18888583331332237,0.24099196725511185,-0.07376732631374022,22.93
1.0,-0.025500544834494984,-0.004201576278838863,1.083245606806033,0.1950017285944268,0.24714127201028419,-0.07415928159065667,22.88
1.0,-0.025757476212099818,-0.004356110928080197,1.0960895967292987,0.20009106880633823,0.252035282236937,-0.07456080844237115,22.84
1.0,-0.025914134516697482,-0.004490902631997512,1.1049271678611032,0.20404446409627128,0.25571898574306046,-0.07505904136817512,22.93
1.0,-0.025979433823907407,-0.0046019008581021014,1.1100789773407307,0.20682028693360166,0.25829883999218906,-0.0757141438682584,22.79
1.0,-0.025963296028639647,-0.004686623214181585,1.111902147981854,0.20841588296763108,0.25989980409475294,-0.07657605293577523,22.88
1.0,-0.025875943536679206,-0.004745117742325032,1.110778607050105,0.20884536937054962,0.26063277854256833,-0.07768812166732407,22.84
1.0,-0.02572700821060486,-0.0047796408094760035,1.1071052442879126,0.2081452828380316,0.2605928156691348,-0.07907137568749603,22.88
1.0,-0.025525590532382573,-0.004793813955294633,1.1012852955190136,0.20640623994179072,0.25988579314065585,-0.08070926466659842,22.98
1.0,-0.025280425904492452,-0.004791744549165536,1.0937199248436509,0.20379642700129724,0.25864228000355544,-0.08255549609957678,22.93
1.0,-0.025000071526183422,-0.004777417803997774,1.0847998130152543,0.2005528956031702,0.2569993367048559,-0.08456121128196924,22.88
1.0,-0.024693755403984777,-0.004754657997658644,1.0748982888420764,0.19695428462606038,0.25509502672253725,-0.08669037124958319,22.88
1.0,-0.024371165532945525,-0.004727346921070728,1.064366290497295,0.19329207538582785,0.2530773590965866,-0.08890883610624539,22.84
1.0,-0.024041030680311132,-0.004699544605882191,1.053528241290405,0.18984345005779685,0.2510808116631507,-0.09117984581006658,22.84
1.0,-0.023710924881055466,-0.004675533998514049,1.0426782570751398,0.1868369341279043,0.2492062933640819,-0.09347623939136664,22.88
1.0,-0.023388030843698282,-0.004659244051942299,1.032076245781547,0.18442171392964773,0.2475316081902638,-0.0957797855077083,22.84
1.0,-0.023079383107985497,-0.004653108317788689,1.0219451951616083,0.18267316760590718,0.2460974872646296,-0.09806503516075692,22.88
1.0,-0.022792190460688127,-0.004657274524350037,1.012470409450615,0.18162544602033062,0.24489266816195268,-0.10029501563990448,22.88
1.0,-0.022534390909268343,-0.004669398161636181,1.0037991526378984,0.18128965183990792,0.24387954687211136,-0.10243279436234787,22.84
1.0,-0.022314163496073184,-0.004685299636825228,0.9960411964964618,0.18164310113766213,0.24300856354129172,-0.1044437541255355,22.93
1.0,-0.022138209864876694,-0.004700495632024871,0.9892713982630847,0.18261636216283683,0.24221118622326657,-0.10629680757307519,22.98
1.0,-0.022010369598101293,-0.004711254206230276,0.9835329058002956,0.18411177770487913,0.24141153583099753,-0.1079819869600797,22.93
1.0,-0.021931627332159493,-0.004714186216355815,0.978839873389366,0.1860354881943626,0.24054947177764258,-0.10950825699067393,22.84
1.0,-0.02190099530426261,-0.004705585902285169,0.9751797354534347,0.18829866486610955,0.23959656782785144,-0.11087008197269635,22.88
1.0,-0.021916431484649626,-0.004682231061817827,0.9725160014982104,0.19079682311706767,0.23856920294381814,-0.11202871172449584,22.93
1.0,-0.021975563097525255,-0.004642837486459989,0.9707924646766244,0.1934154681073316,0.23752422321034608,-0.11292332086888446,22.84
1.0,-0.022076207357457543,-0.004588358620525239,0.9699376305850125,0.1960703753364067,0.23651603951235453,-0.11348687356783738,22.98
1.0,-0.02221594560640014,-0.004521177125842303,0.969868366066713,0.19873225341689588,0.23555430586334114,-0.1136524875295405,22.93
1.0,-0.022390871764599335,-0.004444013805480708,0.9704934752108176,0.2013982582015413,0.23461801624548112,-0.11335741001838127,22.88
1.0,-0.022595421185708113,-0.004358929581320317,0.9717171184248963,0.20404326903114528,0.23370634110425656,-0.11255683621278514,22.88
1.0,-0.02282342314912195,-0.004266831841696624,0.9734408835391155,0.20661236941148564,0.23285503841435365,-0.11124562233441679,23.02
1.0,-0.023068798185375168,-0.004167897306261723,0.9755652029329451,0.20905427218653655,0.23209743179576622,-0.10947111529106836,22.88
1.0,-0.02332565661631496,-0.004062458656273499,0.9779922561972805,0.2113372698933788,0.23143910548518795,-0.1073309564733784,22.98
1.0,-0.023587850247821625,-0.003951506635211607,0.9806296052317213,0.21343120243356783,0.23088027521930862,-0.10495704798388382,22.93
1.0,-0.02384807368906186,-0.0038368608160269514,0.983392107665253,0.2152914382127841,0.23042877160161843,-0.10247173747347425,22.93
1.0,-0.024097950785637836,-0.0037210412083597123,0.9862023060652533,0.21686897435544475,0.23009563849400222,-0.09993631339364173,22.98
